# ZeroInput reference phrases, Apache-2.0. Public everyday words, no user data.
a	啊
a	阿
ai	爱
ai	哎
an	安
an	按
ba	把
ba	吧
ba	八
bei	被
bei	北
beijing	北京
bu	不
bu	部
ceshi	测试
chi	吃
de	的
de	得
dui	对
fang	方
fang	放
ge	个
gong	公
gongzuo	工作
guo	国
guo	过
hao	好
hao	号
hao	浩
he	和
he	喝
hen	很
hui	会
hui	回
ji	机
jia	家
jia	加
jian	见
jian	件
jie	界
jie	节
jin	今
jintian	今天
ke	可
keyi	可以
lai	来
le	了
ma	吗
ma	妈
mei	没
mei	美
meiyou	没有
men	们
men	门
ming	明
ming	名
mingtian	明天
na	那
nan	南
nan	难
ni	你
ni	呢
ni	尼
ni	泥
ni	拟
ni	逆
ni	腻
ni	倪
ni	妮
ni	匿
ni	溺
nihao	你好
nimen	你们
ren	人
shang	上
shanghai	上海
shi	是
shi	时
shi	事
shi	市
shi	十
shi	使
shi	世
shi	实
shi	识
shi	式
shijie	世界
shijian	时间
shouji	手机
shuru	输入
shurufa	输入法
shuo	说
ta	他
ta	她
ta	它
tian	天
wo	我
wo	握
women	我们
xia	下
xiang	想
xiang	向
xiao	小
xie	写
xie	些
xie	谢
xiexie	谢谢
xin	新
xue	学
xuexi	学习
yao	要
ye	也
yi	一
yi	以
yi	已
yong	用
you	有
you	又
zai	在
zai	再
zaijian	再见
zao	早
zaoshang	早上
zhe	这
zhong	中
zhong	种
zhong	重
zhongguo	中国
zhongwen	中文
zi	字
zuo	做
